Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM strict
166,68,10,264,304,361,237,149
18,635,364,1053,302,366,1276,146
59,4,17,270,632,368,1145,272
377,3,780,170,100,372,1905,67
134,2,31,173,101,387,946,85
170,1,30,1041,102,392,1486,2
60,2,400,209,103,402,545,39
99,7,784,224,104,410,149,50
466,9,26,90,105,416,110,499
171,13,20,1052,107,421,99,511
127,19,17,1287,113,430,41,18
541,20,45,1987,583,437,1261,33
839,21,33,1694,335,438,1489,47
3,22,13,1151,334,467,328,553
61,24,790,1980,220,468,568,844
62,25,792,1963,219,477,14,936
63,26,796,1973,120,488,928,790
384,63,801,2014,121,491,1142,293
1,65,707,2010,61,493,543,195
140,70,804,2015,289,496,1802,693
141,74,11,1132,3,502,1648,24
142,75,588,1142,4,505,1077,237
113,76,89,1735,5,511,1123,408
413,79,64,7,6,512,309,375
445,80,76,88,7,519,396,4
8,82,608,47,8,522,1073,264
326,83,609,324,10,528,625,239
472,84,610,337,13,530,485,266
473,115,611,229,15,540,578,245
474,192,4,162,16,542,1175,381
756,197,90,1813,17,552,1570,285
164,202,543,242,87,554,82,134
481,203,590,230,88,558,1467,185
482,204,563,477,156,574,192,33
483,205,568,1703,172,575,469,79
484,206,577,789,1,576,1039,213
485,207,78,777,2,577,1249,432
486,208,53,55,3,582,308,399
181,209,65,40,4,589,88,28
138,210,597,174,5,593,127,288
826,211,598,788,7,594,336,263
530,230,599,1023,10,596,278,290
435,339,600,1723,12,597,1024,269
924,395,7,1430,13,655,1252,405
44,401,101,887,14,663,565,261
139,403,579,298,84,674,301,161
140,901,552,1750,85,689,905,9
141,905,557,1746,169,691,306,55
384,2377,100,283,254,703,283,262
947,5,677,38,420,705,1688,57
555,4,2,593,138,706,113,428
133,3,7,1,193,708,403,447
134,2,15,2,195,710,1729,61
135,7,17,182,197,711,1521,541
136,17,1093,14,91,716,1679,444
1,23,32,3,92,756,1906,187
635,29,38,6,146,761,1869,4
99,30,50,10,119,762,1260,772
154,31,58,13,201,763,993,12
138,32,63,15,203,793,935,443
217,33,72,198,205,795,40,355
218,34,80,147,207,801,1156,394
171,35,25,1,209,820,1326,338
411,59,65,181,211,821,1118,393
114,60,60,15,1,822,1276,359
115,83,53,2,2,824,1503,33
3,84,52,5,574,832,1466,404
7,85,47,9,900,841,857,27
225,87,13,12,250,842,590,486
56,176,85,14,751,847,532,485
174,401,179,197,117,848,363,445
58,406,447,148,11,861,753,434
59,6,68,945,12,863,84,351
60,5,217,1543,497,870,1807,436
199,4,291,220,224,871,1188,437
200,1,48,12,225,872,233,422
314,1,77,8,226,874,670,134
824,16,252,65,228,875,1175,173
201,28,61,11,229,877,674,92
98,31,254,55,230,878,815,693
453,33,449,230,231,879,819,489
42,34,277,235,232,911,1255,14
137,58,450,228,233,912,193,547
355,59,1206,229,234,913,417,379
619,82,386,233,235,914,303,533
1,83,390,234,886,915,1617,131
409,84,393,196,891,916,158,114
890,86,451,416,159,923,1346,10
738,175,452,208,552,924,391,588
536,400,1210,204,295,931,512,572
312,405,454,261,770,942,1333,568
222,15,292,251,45,948,973,542
53,16,455,624,503,956,1768,257
380,17,457,626,93,976,894,176
1,18,458,57,334,977,1113,180
2,19,1414,62,92,978,701,170
4,20,223,34,238,979,977,157
5,21,459,39,516,980,1413,374
6,27,460,5,90,981,154,281
7,33,461,3,247,991,700,129
12,57,462,70,756,992,383,503
13,58,463,32,83,999,351,115
2,81,464,33,147,1000,575,579
3,82,465,37,73,1001,145,596
4,83,134,38,79,1002,1775,597
5,85,299,17,74,1003,227,598
10,208,9,270,75,1015,1137,599
11,404,11,440,76,1016,570,600
5,1637,467,133,77,1027,523,652
6,8,99,413,78,1028,1752,653
7,7,108,179,79,1055,385,197
8,6,7,244,80,1065,1560,89
895,5,468,234,81,1119,1200,70
49,3,470,240,248,1120,87,50
145,2,1207,195,935,1191,1866,587
1,3,230,150,175,1197,750,335
2,4,471,141,937,1203,587,373
3,9,472,396,939,1204,1536,93
613,15,473,237,940,1217,124,4
614,16,474,1093,114,1227,45,907
615,17,359,59,941,1272,1603,270
616,18,475,4,943,1273,609,279
617,19,476,7,122,1278,876,269
73,21,477,9,957,1279,934,510
74,28,479,591,123,1280,1230,494
292,31,215,434,124,1281,1442,908
8,56,483,137,125,1282,22,264
9,58,484,392,127,1340,927,150
618,59,485,233,162,1349,733,389
619,69,486,1089,161,1354,654,286
620,85,487,63,38,1363,994,493
621,86,488,3,159,1364,267,601
622,188,489,5,158,1365,325,557
1,189,490,587,14,1366,621,496
2,190,60,438,625,1367,833,528
626,191,491,134,134,1392,289,657
627,192,110,389,69,1567,660,535
520,193,493,230,110,1569,1000,284
361,198,494,1086,111,1584,921,313
4,199,274,66,112,1585,727,260
628,200,269,2,151,1595,58,658
629,256,496,584,167,2424,354,628
630,9,498,441,86,2425,566,312
21,8,384,132,27,1,347,273
22,4,388,387,244,4,602,115
23,1,389,228,302,5,1058,438
25,1,391,1084,478,7,979,441
7,2,4,68,483,8,669,648
8,3,289,582,487,10,296,487
27,8,27,443,139,11,508,28
396,19,32,16,192,12,1481,508
301,20,40,8,194,13,2151,411
302,27,42,1000,196,14,56,154
16,30,57,39,118,18,666,21
28,55,476,45,940,19,1953,477
30,57,477,725,942,20,2022,238
31,58,27,1318,90,22,1919,461
32,68,1540,652,91,23,1069,395
1,84,22,1575,200,25,505,414
625,85,63,320,202,26,38,410
626,187,75,11,5,27,232,322
519,188,1251,939,8,28,569,522
360,189,1433,21,624,32,391,490
3,190,21,322,204,34,1600,470
627,191,83,328,206,36,65,361
628,192,88,1104,208,39,11,305
629,10,97,1059,210,41,198,360
20,9,105,1347,1,43,118,326
21,8,12,1367,246,44,1994,371
22,7,521,1352,771,45,215,346
24,5,159,1088,11,47,452,164
6,2,154,1252,496,48,1468,660
7,1,36,345,249,52,1116,43
26,2,472,201,118,54,113,453
395,7,23,1517,223,57,576,452
300,19,277,1441,224,59,853,412
301,26,86,1139,225,60,1079,401
15,29,279,1440,227,65,973,318
27,54,474,343,228,66,383,403
29,56,302,329,229,68,365,404
30,57,475,549,230,69,823,389
31,67,480,341,231,72,132,101
624,83,482,337,232,75,1035,140
625,84,483,394,233,76,810,456
518,186,316,1602,149,82,679,514
359,187,324,384,158,83,450,229
2,188,493,99,551,85,454,500
626,189,495,94,190,88,890,81
627,190,1232,101,502,89,172,143
628,191,255,100,94,91,52,147
19,11,496,96,333,97,668,137
20,10,497,95,93,101,1252,124
21,9,499,773,237,102,399,96
23,8,1122,1792,91,104,841,56
5,6,500,1607,245,108,791,37
6,1,501,1787,82,109,1148,17
25,6,502,1672,146,111,87,554
394,18,504,1076,80,112,826,302
12,25,508,3,247,115,588,340
299,28,509,546,113,116,1229,37
300,53,510,1862,121,118,540,231
14,55,511,1786,122,119,263,460
26,56,512,1598,123,120,1316,568
28,66,513,1198,124,122,1514,590
29,82,514,691,163,128,1103,495
30,83,515,988,162,130,966,610
13,185,85,768,160,132,48,624
31,186,516,766,159,139,465,280
159,187,518,987,13,143,1528,227
1,188,519,1094,133,145,489,625
2,189,299,1205,68,146,435,595
3,204,294,684,166,148,1431,279
890,894,520,1,26,150,1071,240
158,895,523,548,243,151,1718,82
1,896,409,1391,301,161,2218,405
2,1126,413,1401,477,162,1647,408
889,11,414,1994,482,178,1693,615
139,4,416,252,486,179,261,454
92,6,30,583,195,180,1195,217
157,9,45,596,117,191,85,392
1,10,90,30,118,199,8,388
888,11,72,97,9,213,1745,377
156,12,166,17,10,217,488,289
310,13,462,29,244,221,2037,142
12,122,597,1962,81,222,1039,69
887,159,468,20,145,229,2112,1341
159,160,487,5,208,233,333,91
3,161,492,259,12,237,570,37
1,162,508,1048,165,239,1609,83
930,189,437,1036,353,242,1819,515
20,190,630,204,141,245,878,374
389,191,517,85,117,246,443,664
294,14,442,1047,371,250,234,86
295,13,442,1282,200,251,292,83
9,1,469,1982,2,253,1594,128
136,3,1,1689,5,263,1822,1144
21,5,2,1146,7,264,5,211
23,8,3,2009,981,265,1475,25
24,9,150,2005,219,278,876,2
25,10,444,155,220,279,13,19
4,11,72,209,748,280,514,1084
929,12,587,165,558,285,373,98
19,105,591,159,36,286,1660,48
388,110,693,1,35,294,441,47
293,111,687,3,226,298,1344,207
294,112,141,54,614,299,501,345
8,121,58,10,145,305,360,581
20,191,447,4,156,309,1647,27
21,192,200,6,693,313,1287,13
22,193,51,725,776,315,411,126
23,194,391,211,315,325,551,555
24,195,45,265,685,331,1512,121
19,196,223,5,80,340,436,914
298,197,450,2,401,341,626,378
476,198,40,1,346,343,402,1090
287,199,350,3,111,345,1122,16
13,200,455,4,86,347,798,123
1,15,458,1,123,352,1126,349
2,14,141,7,801,360,1062,519
3,13,140,6,164,365,838,500
4,2,32,2,165,367,1558,297
21,1,187,1,81,386,362,709
5,2,461,4,96,399,1562,343
6,3,184,1,50,401,224,470
7,4,436,5,218,409,496,540
8,7,631,6,746,415,1424,689
109,8,518,3,351,429,500,61
211,9,443,4,143,436,720,108
3,10,441,5,115,466,1200,153
22,11,470,2,373,467,724,1169
6,13,1,1,198,476,1920,186
7,37,2,2,3,487,4,27
1,38,149,3,5,490,1924,6
353,39,445,428,979,491,1610,1109
906,40,73,2,560,492,874,123
498,71,588,1,38,495,551,23
526,72,592,757,37,496,1245,22
23,73,694,430,224,501,736,182
3,104,688,3,612,511,323,320
4,120,140,356,143,518,243,556
907,164,57,759,154,541,371,2
111,202,446,139,695,547,955,38
430,216,201,5,778,551,412,151
314,217,52,374,313,554,122,530
37,231,392,63,683,573,1200,96
908,487,46,190,78,574,590,353
816,860,222,134,399,576,543,1115
664,16,449,379,344,588,534,41
118,15,41,68,109,592,788,148
119,14,351,195,84,593,178,324
352,3,457,28,121,654,469,544
905,2,142,2,162,662,854,525
525,1,141,242,163,688,1702,272
24,1,33,240,79,707,848,734
2,2,188,126,94,715,225,318
3,3,185,307,48,760,1165,445
906,6,435,6,214,761,401,513
429,7,632,203,215,762,140,372
313,8,519,1584,743,792,1288,662
36,9,444,74,348,815,979,88
907,10,440,146,146,819,209,81
815,36,471,9,112,820,196,126
663,37,1,19,376,821,164,1142
34,38,148,13,195,838,1451,213
25,39,446,403,2,841,614,21
3,103,74,636,976,846,412,1082
22,119,589,701,563,860,763,96
36,189,593,691,41,862,403,50
37,201,695,697,40,870,884,49
38,215,689,1690,221,871,348,209
420,216,139,1902,609,873,558,347
140,230,56,64,140,876,1210,583
1,327,445,50,151,877,1095,29
931,486,202,4,698,878,858,11
932,5,53,73,781,910,953,124
70,6,393,1839,310,911,1140,557
820,1121,47,1904,680,912,399,123
289,15,476,307,75,913,47,380
18,5,221,1734,396,914,291,1088
605,4,448,1791,341,915,10,14
505,1,42,539,106,918,1157,121
419,5,352,244,81,919,976,351
139,6,453,848,118,920,1688,517
930,7,456,217,219,922,1594,174
931,8,143,46,159,923,1016,498
69,9,142,53,160,941,286,299
819,10,34,162,76,947,779,707
288,101,189,156,91,955,2066,345
17,106,186,563,45,975,1190,472
604,107,434,550,213,976,80,534
504,108,633,1116,741,977,13,683
102,117,520,903,346,978,87,67
103,188,445,1117,148,979,2032,102
25,189,439,715,110,980,1087,147
26,190,472,1172,378,990,420,1163
137,191,147,1200,193,991,692,192
138,192,447,864,974,998,2130,1103
89,193,75,925,565,999,2253,117
90,194,590,524,43,1000,294,29
18,195,594,511,42,1001,1293,28
13,196,696,461,219,1002,1774,188
12,197,690,719,607,1013,876,326
11,325,138,205,138,1014,1838,562
10,386,55,259,149,1015,225,32
31,2,203,7,700,1032,858,145
21,3,54,3,783,1044,287,536
22,161,394,387,308,1054,444,102
12,181,48,352,678,1064,494,359
23,535,491,140,73,1196,1243,1109
25,1,220,29,339,1202,118,35
33,2,45,3,104,1203,504,142
34,160,447,99,79,1216,1635,330
35,180,43,1999,111,1271,80,465
72,534,353,8,116,1277,1266,519
601,21,455,7,157,1278,268,278
602,20,144,4,158,1279,392,436
603,19,143,3,74,1280,474,728
604,18,35,1,234,1281,92,324
605,13,187,14,43,1391,141,451
503,12,967,8,471,1472,125,633
592,11,9,2,178,1568,396,417
290,8,100,15,801,1583,186,12
45,7,55,5,184,1584,756,15
145,6,117,1997,551,1751,218,11
89,5,162,1752,108,1992,1753,39
377,4,54,318,109,1,1863,669
11,3,74,1615,910,4,865,170
148,2,219,255,434,5,1718,677
328,1,53,1619,781,6,1595,254
467,1,193,1371,126,8,212,279
278,2,149,61,880,16,811,12
131,3,171,575,60,18,449,608
85,4,974,1530,471,22,1448,707
79,5,48,824,960,23,538,701
1,18,91,1810,883,29,819,31
2,27,349,40,841,33,128,364
3,62,209,202,572,35,198,675
4,65,93,2132,551,38,416,670
5,184,65,1920,408,44,611,668
6,185,64,1510,435,52,331,667
7,186,63,1917,436,55,1199,97
8,187,84,58,437,59,71,666
9,194,94,134,767,61,348,37
34,195,96,637,1,63,60,678
33,196,72,651,486,67,44,676
32,230,71,304,125,71,1443,10
31,243,235,559,124,74,122,277
10,378,321,634,474,76,2106,210
11,383,86,3,400,81,1177,727
12,526,62,2,21,84,1562,571
13,527,67,8,22,88,103,35
14,633,831,25,23,89,1078,54
15,2391,1408,306,25,93,134,482
15,1116,16,320,424,104,150,9
1,1,10,233,873,107,1415,214
16,1115,75,232,875,110,1437,705
2,7,174,228,24,116,316,7
3,2,334,303,249,118,1912,24
4,1,107,622,494,122,471,683
5,4,986,608,492,123,487,57
6,5,1544,61,487,131,513,20
7,6,1545,700,486,137,653,44
8,10,1546,625,547,149,1575,33
17,14,1547,136,545,151,1,266
18,16,339,596,543,154,192,708
19,17,144,379,810,162,1350,347
9,41,151,1554,673,165,352,18
10,49,163,428,1045,166,1425,5
11,50,155,413,723,173,354,746
12,61,959,149,398,175,117,564
20,62,962,143,724,183,791,567
13,65,238,289,496,196,378,575
14,66,131,288,499,202,1167,582
21,67,51,291,117,206,553,23
22,68,50,296,118,214,293,244
131,69,184,310,120,216,309,299
263,70,558,218,125,217,475,508
24,71,1548,293,127,220,1753,4
602,72,559,639,101,227,1502,231
9,73,1031,653,72,240,1518,747
8,181,126,561,79,254,1684,748
1,191,990,636,116,262,544,749
3,336,995,6,704,266,1665,601
4,794,998,20,156,273,104,399
17,795,562,645,161,275,163,774
8,796,564,659,228,276,147,414
28,23,1537,567,229,277,19,552
10,8,152,642,231,281,2209,460
11,3,156,1,233,294,1105,397
286,2,83,17,467,296,1181,202
13,1,59,14,353,302,1769,265
1,3,105,9,750,318,132,246
2,4,114,214,79,335,1908,247
3,5,119,1719,80,338,910,577
4,13,126,802,820,354,2099,361
14,15,127,243,821,376,129,46
13,16,132,263,739,379,1983,377
6,40,139,248,840,388,204,207
375,58,147,16,238,390,441,208
278,60,170,22,504,391,1349,248
279,61,172,39,163,407,749,259
280,62,181,24,150,408,353,342
281,63,186,361,181,419,1795,257
154,64,194,35,183,421,1068,256
330,65,196,259,185,424,1721,271
16,66,206,3,875,427,771,559
17,67,211,288,107,434,316,520
7,68,217,308,189,436,1796,601
9,69,229,293,191,437,17,543
10,70,237,29,193,444,254,197
18,71,242,4,195,456,744,632
879,72,251,2,197,466,159,152
11,180,259,1968,199,471,1609,249
67,181,266,1954,884,486,1494,506
907,182,272,1900,769,492,1257,82
908,183,279,1977,542,495,554,681
909,335,277,121,383,519,1161,250
874,793,283,15,700,520,434,338
69,794,292,10,920,527,1143,299
70,795,6,1187,426,528,1294,355
71,24,190,113,485,537,389,300
72,9,22,1,126,548,1668,334
73,4,23,777,125,553,468,605
1,3,198,1561,664,554,1524,394
2,2,578,1313,241,561,283,532
3,1,626,3,127,572,740,588
15,2,111,517,212,573,520,445
14,3,3,1472,213,575,1377,81
5,4,129,766,214,589,609,60
374,12,627,1752,216,590,748,703
6,14,131,18,401,618,199,12
8,15,9,144,217,627,269,10
9,39,10,76,218,628,277,357
10,47,163,146,219,629,407,310
66,48,234,701,220,630,191,204
106,57,102,1485,221,654,1247,442
5,59,162,1237,222,655,560,20
906,60,388,73,223,688,463,613
907,63,210,441,593,691,797,634
908,64,426,1396,596,716,1100,315
873,65,431,690,874,753,886,146
68,66,240,1676,877,791,471,431
69,67,433,94,879,792,476,314
70,68,439,68,95,804,546,397
71,69,628,70,136,805,684,160
72,70,456,399,626,841,35,562
25,71,629,101,147,868,338,35
20,334,630,215,438,884,167,11
19,792,631,436,637,917,355,639
18,793,34,1111,529,918,1338,375
17,794,632,1100,540,919,664,39
1,5,633,223,476,929,1776,105
54,4,471,14,829,1020,748,121
2,3,634,3,283,1021,74,125
16,2,158,2,779,1022,21,38
15,1,635,1110,782,1023,335,60
391,1,636,131,57,1024,1975,151
392,2,477,240,594,1028,1084,306
4,11,637,243,1044,1049,305,436
373,13,35,190,491,1050,162,517
276,14,402,1208,567,1051,2041,513
277,38,638,1133,107,1205,187,523
278,58,639,2172,105,1209,65,536
279,59,640,185,225,1210,1632,410
312,62,641,5,322,1215,1989,319
313,63,642,56,226,1275,1594,40
5,64,643,9,104,1281,525,412
7,66,644,347,234,1321,175,98
8,67,36,1444,102,1322,765,428
695,68,645,696,235,1323,825,190
9,69,38,1241,98,1324,81,564
65,70,313,71,983,1325,201,114
401,333,332,1975,744,1352,992,615
905,791,41,9,71,1442,716,97
906,792,478,581,135,1443,410,96
907,793,646,74,751,1546,1403,95
872,16,372,602,91,1547,1022,94
67,5,43,9,62,1588,898,93
68,8,278,2,63,1593,1428,41
69,11,45,1082,64,1632,660,40
70,12,287,299,65,1693,841,51
71,13,401,1106,66,1694,627,1
46,36,405,1093,67,1695,1737,57
47,37,442,1660,68,1833,215,496
1,40,498,1907,69,1834,1444,596
17,42,274,1859,814,1906,1128,604
16,43,647,1783,73,1947,851,623
513,45,648,3,448,1967,924,63
3,55,649,2,236,1968,1974,643
372,61,650,653,530,1978,202,106
275,71,651,698,531,1984,251,251
276,93,409,703,929,1985,82,358
277,148,652,697,931,1986,573,320
278,149,653,214,102,1987,1233,422
8,172,430,36,104,1988,1395,697
60,242,214,15,110,1989,1457,53
61,952,538,108,349,3,2,183
62,17,654,35,547,4,1981,199
4,7,50,1111,973,6,1570,52
6,6,655,194,112,7,1498,429
7,1,344,196,113,8,224,404
8,1,656,188,115,10,603,304
620,48,657,443,174,11,346,470
357,54,658,990,173,15,672,407
65,56,659,1557,50,16,1280,200
904,176,660,220,171,17,918,7
905,331,661,222,170,18,501,92
906,375,662,1,282,20,562,408
871,956,663,1276,2,21,469,419
66,8,664,1044,18,22,347,165
67,7,665,318,714,24,550,36
68,10,666,308,192,25,365,158
69,47,667,83,613,26,961,409
70,53,668,1591,122,30,424,439
18,55,669,1327,57,34,187,380
17,330,239,440,98,39,752,180
639,955,670,1378,99,41,440,433
2,29,69,26,323,45,580,35
371,9,671,24,100,50,694,34
11,8,672,32,153,51,315,33
310,7,673,223,139,52,1264,65
311,6,387,770,917,53,1590,381
150,5,448,1337,155,58,362,420
326,4,453,2,166,60,417,578
9,2,674,219,167,63,1480,255
12,1,675,1056,162,64,1387,252
13,46,676,824,15,66,571,49
60,329,677,538,38,70,1468,45
61,954,563,528,184,71,1283,131
3,1586,567,1371,232,73,1342,301
5,32,568,1107,290,80,1105,206
6,31,570,220,466,81,1670,24
7,30,175,1158,471,84,478,132
281,10,577,28,475,88,997,90
103,9,283,26,823,97,277,231
903,8,97,34,809,104,102,4
904,7,233,221,6,106,847,304
905,6,231,768,54,110,1173,301
870,5,224,1335,57,116,779,310
65,4,221,221,58,117,1063,311
66,3,107,1054,59,121,970,65
67,2,545,822,375,134,154,326
68,1,227,540,158,136,1051,83
69,45,388,530,1005,137,866,393
260,87,108,1369,244,143,925,221
70,174,554,1105,171,144,688,1306
735,175,102,218,409,148,1253,210
18,176,32,1156,11,159,61,93
911,177,58,193,54,160,2060,586
149,178,362,195,332,172,786,386
3,179,364,187,61,174,1165,483
5,312,152,442,60,176,216,446
176,328,169,989,783,178,110,646
177,433,17,1556,97,185,1842,552
178,434,18,1275,1217,189,93,9
181,565,96,1043,1215,192,909,2
182,953,105,319,4,198,12,554
29,2052,260,309,1329,205,197,704
24,33,19,1590,128,206,138,469
23,32,173,1326,26,213,375,6
22,31,28,1377,96,217,1002,685
21,29,29,1202,27,220,1247,5
369,25,30,657,28,226,2153,7
395,24,370,1252,29,229,300,8
9,23,374,1253,494,231,1745,414
95,22,119,1308,496,235,133,467
57,21,278,680,17,239,747,697
1,11,379,681,135,240,619,541
3,8,32,407,497,242,1530,507
4,5,382,136,324,243,287,7
691,4,7,1452,693,244,402,502
5,3,189,1376,19,248,679,51
344,2,172,1188,78,253,374,712
345,1,388,10,1228,272,510,564
61,19,110,14,14,274,543,462
101,20,678,1,536,278,567,19
102,21,128,2,16,295,1675,193
103,22,134,25,1306,318,353,700
346,42,140,21,90,323,20,4
68,43,130,38,88,333,646,273
223,44,160,39,493,338,309,644
345,54,168,11,1278,339,1677,571
68,55,141,10,20,342,571,588
106,82,27,380,10,345,1302,631
107,83,182,345,125,346,1352,62
123,84,200,1362,886,363,181,696
122,85,214,390,126,375,731,514
732,86,254,355,130,378,781,371
2,172,302,1372,131,384,390,219
100,327,330,1965,951,386,344,487
101,382,335,32,133,411,654,230
105,432,469,1902,1114,420,199,489
106,433,371,12,69,422,1549,269
122,564,159,75,76,435,1404,228
121,933,166,1870,77,446,853,573
32,948,273,1019,412,464,428,670
27,951,390,12,1270,465,210,427
26,952,398,1,84,470,1375,392
25,17,293,7,91,488,469,459
24,12,402,1007,161,490,218,317
2,31,405,11,1163,491,1585,523
1,55,408,4,164,500,845,404
2,1847,300,3,37,518,782,530
104,1,413,5,38,519,259,180
105,30,411,48,337,521,617,706
121,1846,679,175,40,522,1159,680
120,24,417,422,42,523,500,311
33,2,415,1758,344,541,161,479
28,1,418,15,44,558,396,448
27,29,421,119,45,562,435,94
26,169,422,942,47,564,873,80
25,1845,424,1806,48,565,1257,334
3,3,680,400,58,619,1046,353
687,2,426,4,52,627,319,362
1,1,431,77,143,628,536,262
393,28,433,481,1,629,901,59
58,1844,436,1018,5,652,1803,361
14,15,334,7,6,791,740,587
897,4,681,8,8,835,803,187
898,3,682,6,1079,839,1844,399
899,2,439,12,153,868,99,92
864,1,683,1953,154,869,443,108
59,167,51,1,156,873,177,109
60,1843,450,16,1071,874,821,81
61,27,52,13,1142,875,697,110
62,97,442,6,24,912,615,82
63,362,452,8,1065,913,997,170
4,17,457,23,335,949,948,178
1638,160,458,17,142,950,964,354
339,165,460,7,163,953,693,146
340,509,461,24,150,956,1275,47
43,513,464,14,286,960,333,47
96,514,513,1978,68,999,1375,83
341,18,810,1402,1,1012,313,243
61,7,947,1703,155,1013,168,287
171,6,643,54,156,1015,1498,288
72,5,916,40,12,1016,1383,937
73,4,674,14,94,1017,1146,945
14,3,997,63,587,1020,665,819
110,1,1005,1980,88,1021,562,845
96,513,735,4,161,1030,599,792
97,8,708,1324,14,1052,304,853
73,7,637,1398,130,1054,286,783
74,6,811,1699,146,1057,767,830
75,5,812,1976,119,1058,1161,1099
76,4,445,1320,56,1194,903,124
77,3,158,1,58,1207,1927,1060
78,3,444,3,61,1208,2024,296
79,44,38,411,58,1,2204,32
80,130,164,44,124,13,1144,168
3,131,77,6,22,15,2156,85
81,132,92,45,77,28,1407,548
