Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random
613,39,1446,8,96,378,1810
2225,35,1465,1987,5,411,901
1583,26,1783,4,58,434,1263
1427,24,1501,2,204,451,22
1478,18,740,1,443,455,781
585,7,1086,2,129,458,1702
463,1,1784,3,65,462,38
39,2,38,5,16,474,1136
100,26,828,274,1076,475,1647
2226,64,1785,2,77,479,1476
1084,77,132,1,600,487,958
2227,85,1638,1,163,494,729
869,167,1639,88,2,510,1882
763,208,60,8,304,516,164
12,237,1786,47,87,526,1843
2228,238,516,10,490,534,1247
1457,239,22,76,428,540,964
2229,251,1514,75,17,572,321
1,252,1484,74,170,579,440
441,263,1787,46,100,604,939
348,264,1310,5,864,612,370
1261,265,1788,82,106,613,602
1085,269,1789,81,79,614,242
548,270,1790,12,117,616,376
1331,271,1050,52,746,625,210
1432,284,1292,41,673,626,441
1485,324,1791,45,124,627,578
813,352,1792,31,127,628,890
680,427,1793,1,128,638,1169
1454,435,424,86,1011,640,42
1,436,1083,43,105,642,419
166,459,1794,42,64,644,1320
361,514,1795,51,132,645,754
743,520,1796,183,134,647,808
108,541,1797,35,706,649,50
58,626,30,144,833,650,667
526,633,1498,72,197,653,775
1,634,1798,30,206,668,362
5,635,1799,1870,208,669,1049
16,639,1800,923,209,670,73
43,651,706,44,770,671,446
100,754,1801,14,210,672,321
378,761,16,71,680,698,85
384,928,1486,2,180,703,417
204,976,1802,87,160,713,264
737,1041,1803,196,212,718,650
789,1312,1804,68,158,733,862
970,1383,1805,177,213,738,104
987,1450,1449,83,104,746,1093
887,1481,1806,79,214,753,173
1068,1485,1807,24,215,761,481
1075,1526,1074,165,78,769,1178
1091,1527,1808,12,216,770,837
288,1528,1809,220,217,797,257
1161,1529,24,34,46,805,830
525,1594,1810,16,218,808,1036
1212,1603,1481,25,147,810,228
1252,1604,1811,77,28,815,560
1781,1635,1470,744,61,817,621
1,1640,200,28,405,823,604
140,1645,735,53,155,831,1032
334,1658,56,14,40,832,1182
74,1659,72,80,829,834,1152
1021,1660,1812,65,219,838,910
845,1757,1636,385,182,839,135
1082,1758,1813,103,220,840,129
13,1759,824,33,661,841,1600
18,1762,971,864,815,844,1401
2,1764,85,9,1342,846,214
146,1777,1814,17,221,848,491
675,1778,873,15,1260,853,249
193,1779,1815,25,222,854,115
860,1780,75,7,247,855,931
29,1879,69,49,693,856,493
1,1929,77,10,586,857,319
25,2020,5,156,45,858,682
161,2031,71,11,753,863,1116
83,2032,187,188,324,864,972
226,123,8,58,722,866,2097
175,9,197,55,259,874,477
615,4,1035,50,424,879,1854
95,3,72,29,41,880,361
467,1,556,146,1,881,1385
44,1,562,166,81,882,2039
728,77,1328,44,1434,887,732
1074,792,522,85,60,891,1068
1086,1984,1410,6,323,894,2052
1085,1985,1288,21,105,898,1430
1207,1986,565,3,82,908,1762
98,1987,567,4,18,909,781
1251,1988,570,54,43,910,1969
1300,1989,890,26,491,911,173
1304,1990,1306,36,56,921,1426
1347,1991,1267,106,28,932,645
1191,136,107,6,7,953,2060
1379,132,343,23,825,957,1058
1429,130,342,174,168,970,340
1156,129,369,504,1,980,769
1776,128,1128,48,7,983,754
2123,127,6,35,4,995,1955
2124,126,328,41,8,1012,1698
2125,121,626,52,5,1016,442
934,117,341,8,3,1023,1220
1444,116,1431,134,270,1036,451
1,112,107,22,933,1045,237
35,71,320,73,959,1046,59
55,15,167,1309,743,1054,1294
75,14,304,869,724,1057,309
79,11,1174,21,1499,1059,822
16,10,360,37,6,1064,495
113,9,347,28,680,1075,248
118,8,1432,1184,1589,1078,503
130,7,1433,26,99,1119,207
302,6,1434,22,863,1120,322
322,5,1435,27,580,1127,1192
29,4,347,16,1549,1128,60
12,3,489,796,775,1133,787
52,2,143,57,5,1135,1008
487,1,366,13,671,1140,873
21,1,1,638,1,1141,455
192,2,2,521,2,1166,554
386,3,1,42,3,1168,157
3,4,3,753,6,1180,822
18,5,4,84,11,1215,219
13,6,5,66,17,1217,720
6,7,6,1303,130,1218,1663
85,8,7,9,22,1239,1559
112,9,8,795,21,1242,119
120,10,9,1714,25,1253,597
132,11,10,20,18,1254,696
26,12,11,19,20,1267,2004
70,13,12,51,304,1307,2028
232,14,13,807,24,1312,1927
180,15,14,20,26,1319,1316
268,170,15,142,1292,1321,882
80,168,16,7,112,1323,574
86,130,17,1250,63,1324,154
409,129,18,169,257,1341,861
422,68,19,40,9,1344,932
208,37,20,43,16,1347,19
284,36,21,49,13,1348,834
619,7,22,207,7,1349,1561
620,5,35,56,1645,1367,735
8,4,38,154,414,1368,1664
661,3,43,19,1514,1369,1526
802,2,48,50,1710,1370,948
927,1,52,163,1703,1372,1668
179,2,56,90,1423,1385,409
501,20,54,27,1588,1391,924
561,714,59,18,1577,1393,1432
212,731,63,39,1347,1397,1940
1144,734,1351,54,1732,1403,1464
1175,735,382,691,210,1406,1682
341,736,291,48,2021,1412,173
1241,737,1101,1963,112,1430,1305
1252,738,1351,13,289,1431,1300
1090,739,294,130,454,1433,1965
237,740,141,32,392,1434,1090
972,741,295,148,112,1443,496
1351,742,979,46,85,1444,1624
562,743,1526,18,1,1481,1708
1084,744,997,29,218,1513,199
379,745,1092,30,187,1515,369
1375,746,252,55,291,1518,1182
1018,215,1224,17,723,1524,20
937,154,1555,38,1383,1527,1696
1121,132,176,92,1377,1556,37
1438,130,178,53,46,1580,753
9,128,10,23,1365,1581,38
1017,99,164,151,19,1582,448
684,66,159,15,996,1585,1000
1459,64,143,89,1367,1617,936
396,62,139,564,103,1619,911
931,37,1332,170,114,1621,228
27,4,932,802,133,1622,1489
1160,1,725,47,24,1623,749
559,1,193,78,12,1664,709
1512,2,888,31,412,1691,33
1530,3,197,189,15,1702,59
1534,4,1465,1983,379,1704,1107
164,5,1447,105,355,1710,1394
1550,6,344,45,102,1711,432
1564,7,997,517,50,1712,454
444,8,915,34,175,1713,1755
1601,9,1155,1,118,1714,184
1614,10,869,5,1638,1738,1652
1627,11,580,1,120,1756,1026
1635,12,937,1436,187,1758,732
1643,13,180,3,59,1759,1799
1649,14,705,983,129,1760,423
1659,15,192,450,185,1762,1041
1666,16,1081,111,194,1763,517
7,17,1095,4,1106,1766,126
1220,243,468,2,51,1767,196
1679,71,880,1699,56,1769,1600
1683,93,469,59,82,1770,745
357,213,238,6,125,1797,1977
256,693,520,69,134,1880,143
17,707,472,49,174,1925,51
891,708,1108,36,1628,1926,98
3,443,476,68,20,1945,213
8,1740,729,1,144,2015,1237
12,144,521,19,19,2025,45
48,5,243,38,58,2028,558
126,3,477,55,164,2035,243
31,2,482,24,165,2039,509
71,1,483,1,166,2040,759
114,1,95,231,59,2043,53
188,2,980,35,274,2057,1004
51,3,258,64,19,2058,844
298,3,87,2,100,2059,128
318,43,57,78,949,2061,742
483,49,64,758,544,2063,423
756,293,6,58,319,2064,519
895,1815,709,82,4,2065,1048
767,101,697,705,606,2066,828
382,29,441,22,64,2067,607
17,5,397,40,33,2068,5
1002,4,53,12,1,2103,623
1112,3,160,14,8,2104,725
1139,2,96,1102,10,2137,148
966,57,71,72,13,2138,1032
1058,1742,53,114,15,2139,630
1133,125,65,16,4,2140,1239
1232,16,60,252,17,2141,1357
1,8,1780,291,20,2142,824
41,7,78,39,21,2143,1005
24,6,1781,1877,7,2144,986
179,5,83,18,11,2145,335
232,4,45,28,6,2146,146
290,2,381,4,3,2147,738
426,1,35,1519,9,2148,112
408,1,96,62,30,2149,336
260,2,6,22,5,2150,595
161,272,68,992,24,2151,848
132,308,573,5,23,2152,878
643,303,160,696,5,2153,135
212,301,39,160,6,2154,704
19,300,25,1795,1408,2155,32
1096,299,89,303,4,2156,791
1056,298,16,7,1,2157,627
1016,297,45,19,1020,2158,674
1179,296,58,532,5,2159,834
547,294,12,17,1236,2160,103
1261,293,180,43,1162,2161,37
227,292,25,1700,1776,2162,237
721,226,59,47,19,2163,465
479,119,79,33,1757,2164,411
1352,28,91,1240,1102,2165,657
1395,23,83,37,1240,2166,384
661,22,356,1089,13,2167,64
454,21,360,8,48,2168,1254
178,20,34,3,67,2169,1157
354,19,4,124,72,2170,851
10,18,17,30,79,2171,42
868,17,368,603,19,2172,1178
31,16,373,37,39,2173,827
27,15,10,50,162,2174,280
386,13,8,13,120,2175,648
1081,1,215,804,13,46,530
1002,1,20,45,44,54,398
620,2,381,1608,51,66,494
1210,3,386,305,116,80,159
1190,4,390,29,128,86,285
1094,5,40,73,143,87,570
945,6,32,48,14,109,1227
234,7,394,701,36,113,1233
660,8,399,111,37,129,770
439,9,334,26,8,149,304
839,10,403,1527,63,151,584
567,11,408,11,170,163,1047
997,12,57,477,55,168,366
26,13,244,1091,119,183,1026
1159,313,340,25,182,188,927
1272,312,13,10,908,220,248
793,310,412,42,148,223,1153
367,309,417,1226,1325,227,107
595,307,423,1104,31,238,749
473,306,425,32,52,244,669
1216,305,429,204,73,245,858
858,304,432,27,81,249,942
1334,303,345,9,180,252,226
1177,302,434,46,166,253,1260
317,300,436,832,86,284,664
89,176,440,31,160,286,18
569,168,1108,20,2,314,666
19,165,444,21,172,327,213
1340,65,23,44,84,335,270
1176,45,448,41,28,336,123
1787,7,36,23,129,377,15
1260,6,44,1022,61,384,1350
644,2,450,1386,8,403,1307
468,3,144,15,1283,413,730
469,4,922,34,12,433,1054
1807,37,451,6,126,445,960
1819,162,903,209,815,446,1
1307,252,453,476,38,454,664
1827,963,284,26,476,474,494
389,966,208,451,433,476,1193
74,967,455,35,22,478,209
1245,968,456,1450,1,490,412
387,969,458,194,76,501,1257
1482,970,459,174,90,509,437
939,971,461,391,96,515,98
1805,972,131,1456,1109,518,287
557,973,463,393,110,525,770
1649,974,464,216,124,539,419
960,975,282,452,178,558,858
1178,976,467,404,147,561,36
1781,331,469,112,157,566,1028
1979,330,475,340,164,578,707
1688,329,479,4,323,580,1239
1980,328,481,98,174,587,688
1847,327,484,585,181,595,684
222,326,488,27,27,605,1017
993,325,493,63,22,610,838
490,324,311,15,747,611,914
817,322,497,321,6,612,723
1981,192,201,62,377,615,1121
1982,166,503,54,1186,617,191
1983,62,48,1,24,623,751
1538,13,10,18,29,624,526
1852,12,150,24,1103,627,730
1984,11,180,1022,3,628,1311
1600,10,186,13,1,637,1058
1734,9,136,281,2,644,258
1985,8,103,29,7,648,1064
1986,7,1254,3,19,649,404
1802,6,161,9,6,651,448
1175,5,170,623,11,668,233
1987,4,143,39,18,669,223
451,3,179,311,22,670,331
792,2,26,747,8,671,542
1988,1,98,208,5,697,137
333,1,88,322,9,702,1189
402,2,65,8,28,712,1048
1826,3,73,739,23,717,243
1739,4,80,491,10,737,621
412,5,103,75,25,743,724
649,6,59,382,21,752,22
1989,7,85,37,3,753,310
1155,8,361,98,856,757,766
531,9,55,446,3,760,160
1856,10,553,1144,1212,768,602
235,11,15,48,20,769,540
1093,12,130,12,724,770,631
166,13,330,686,183,803,286
1100,219,45,347,16,805,747
1990,218,180,17,667,806,285
1991,217,371,386,1199,807,63
249,216,1764,28,1021,813,27
698,215,341,611,18,814,386
1992,214,221,76,1163,816,246
131,614,409,283,1156,822,125
1490,616,726,593,949,830,24
253,1216,1765,588,1035,832,442
1993,1880,205,2,218,833,749
1994,259,1191,1510,666,835,515
1446,202,1100,1458,367,838,104
1995,139,1195,78,187,840,1162
1996,135,1050,120,56,842,779
1813,42,636,315,1188,845,78
1861,82,231,367,1144,846,1212
466,223,166,1457,1032,847,551
1997,955,10,377,1230,852,234
1099,961,749,7,1224,853,944
1163,962,522,557,1220,855,188
193,269,165,336,371,857,636
1378,59,223,10,1229,858,1095
63,25,534,694,886,859,746
1998,2,303,5,1218,860,1231
1999,1,556,1399,320,861,162
2000,2,1049,19,1271,862,514
1317,3,125,489,262,873,13
1407,351,1204,267,437,878,279
1528,350,584,11,286,880,14
804,349,1206,661,484,881,136
596,347,588,8,188,885,1171
1743,345,563,14,349,889,687
338,332,1209,38,191,897,909
937,330,127,106,120,907,973
2001,284,146,64,665,910,1133
1166,249,426,1460,363,924,53
668,247,890,15,491,925,823
262,188,659,1508,434,956,41
1514,174,102,339,528,969,254
2002,116,1214,16,194,979,563
2003,113,604,346,493,981,289
1776,81,546,1515,750,982,614
22,72,480,5,541,1002,443
2004,70,639,621,320,1022,332
1031,69,485,6,608,1037,728
1783,68,609,1592,531,1039,849
2005,64,555,349,140,1040,619
1678,32,352,1,857,1050,86
862,26,1216,2,197,1058,774
1731,25,530,11,1063,1063,363
1387,24,440,103,739,1074,210
1752,23,657,1,1439,1077,483
563,8,805,5,1074,1079,151
1213,3,767,13,490,1080,1004
2006,2,706,2,223,1090,1253
1809,1,455,142,456,1118,810
981,1,846,1312,348,1121,783
701,2,1220,660,560,1123,430
1651,3,161,6,149,1124,290
1694,4,629,12,203,1125,1338
2007,5,638,106,211,1126,572
2008,6,1224,581,213,1127,894
655,7,279,762,610,1132,411
2009,8,1229,4,215,1134,931
2010,9,1233,57,219,1140,69
1551,10,1236,9,222,1154,67
1736,11,1239,7,225,1156,741
1044,12,709,1135,566,1162,390
1658,13,1242,14,424,1165,759
1433,14,570,10,469,1166,390
1077,15,1245,768,233,1167,1289
15,16,140,193,323,1179,2
1747,17,666,20,1274,1200,141
1648,18,935,3,1268,1210,513
1355,188,560,1332,882,1214,71
1269,152,250,2,65,1241,1232
406,84,499,1,119,1252,348
1314,1663,317,1134,1364,1253,1130
2011,1664,503,8,1065,1318,119
97,204,3,102,214,1323,733
932,389,429,38,578,1341,544
847,393,224,7,956,1343,357
1467,264,675,6,223,1346,760
1828,263,651,5,21,1347,1
416,262,1250,1,863,1366,379
2012,261,687,945,76,1367,436
1714,260,169,9,401,1368,403
1786,258,715,2,100,1369,1140
645,257,137,9,45,1370,368
122,254,648,3,431,1371,1136
1613,241,30,1,929,1387,401
1475,201,283,6,31,1392,959
480,198,202,4,145,1396,490
111,169,354,835,1431,1400,666
1000,168,478,16,206,1402,626
1137,166,721,4,489,1405,151
641,165,695,11,64,1413,660
833,163,583,10,513,1419,853
1536,162,340,3,422,1429,747
1879,5,969,1,116,1434,1014
186,1,291,246,1356,1443,1007
112,1,658,790,321,1445,50
380,3,73,9,336,1447,610
6,4,626,13,388,1473,1240
296,5,33,17,81,1474,131
5,6,919,2,529,1480,216
29,7,835,970,15,1482,512
316,8,1020,7,182,1510,739
2013,9,627,8,523,1512,848
965,10,160,15,1328,1515,398
2014,11,105,581,244,1523,786
2015,12,76,18,1239,1576,96
1598,13,523,19,52,1577,1090
1432,14,118,5,1114,1578,792
346,5,562,12,569,1580,688
1880,1651,334,14,386,1582,489
2016,369,147,6,585,1615,29
1219,365,1097,134,196,1627,186
1146,265,110,2,142,1633,937
1544,86,603,1,68,1636,317
2017,1,564,2,258,1644,227
1713,2,246,1,324,1657,843
760,3,52,1,1094,1663,492
1290,4,327,882,466,1675,644
283,5,707,3,1419,1680,356
508,6,233,249,11,1695,512
482,7,144,382,375,1708,1313
807,10,272,353,66,1709,1106
761,8,423,780,346,1720,573
507,1,394,2,1343,1755,743
605,1,22,237,1103,1759,607
474,402,261,263,227,1765,1203
1527,392,98,4,573,1766,537
64,388,796,1,1395,1772,511
1236,386,149,3,30,1800,273
1293,383,433,96,488,1879,1304
1798,380,133,615,110,1924,1003
1881,374,183,7,120,1927,148
2018,373,713,565,964,1933,25
1825,357,445,1,684,1938,1213
2019,356,624,629,39,1941,1323
1034,355,683,13,502,1950,985
16,347,616,2,107,1955,81
1048,346,1078,588,255,2056,682
1883,345,189,3,318,2057,648
1022,342,107,3,210,2060,1100
1064,339,348,33,313,2061,106
2020,338,104,5,310,2063,706
1884,337,1263,24,310,2072,579
1090,334,1144,4,340,2085,1042
1494,333,1034,3,420,2095,284
1362,332,1268,2,360,2097,615
1182,331,168,1248,155,2098,1297
662,330,596,1,1070,2099,325
1744,328,270,1101,278,2100,163
1115,327,387,2,334,2101,277
2021,326,688,940,209,2102,1078
1185,325,124,8,245,2103,315
1374,324,580,181,301,2104,415
185,323,1120,4,260,2105,575
634,322,398,13,73,2106,843
1336,321,50,248,1106,2107,263
600,320,1045,920,616,2108,403
1323,319,322,315,243,2109,642
1824,317,1276,113,68,2110,22
2022,314,587,1,4,2111,447
393,311,1278,44,71,2112,485
2023,308,1081,924,402,2113,490
2024,301,297,178,1460,2114,361
2025,299,215,17,370,2115,1245
501,298,163,11,297,2116,709
2026,294,116,58,60,2117,1181
2027,290,886,23,73,2118,710
2028,282,1283,3,77,2119,1116
2029,280,1286,731,79,2120,130
1079,279,488,278,347,2121,822
181,278,1099,50,417,2122,1092
1328,277,1289,716,84,2123,61
2030,276,417,11,486,2124,511
383,275,806,22,117,2125,472
90,273,1293,707,86,2126,373
11,272,904,53,88,2127,750
306,271,549,331,294,2128,200
1430,270,302,42,102,2129,20
