Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict
479,949,478,209,411,4461,2189,6
480,1044,479,273,412,4463,438,5
481,1045,480,43,413,4464,9171,4
482,1046,481,39,414,4465,16996,3
483,1047,482,414,415,4467,2836,433
484,1049,483,60,416,4469,4674,2
485,1052,484,278,417,4470,6426,214
486,1053,485,356,418,4477,1847,215
518,1055,489,8,771,4486,8986,970
519,1076,492,30,773,4487,10640,971
520,1077,496,34,775,4490,5102,1232
521,1078,498,33,778,4493,9719,1198
522,1079,501,35,781,4494,7529,1208
523,1080,508,44,786,4497,2494,1217
524,1081,515,24,788,4539,6157,972
525,1082,521,9,789,4554,5925,457
526,1083,528,27,791,4555,6197,973
527,1084,535,52,5831,4556,8808,1483
528,1085,540,13,795,4558,4571,974
529,1086,543,46,796,4563,1934,1346
530,1088,551,3309,10639,4567,8267,1814
531,1091,556,6,797,4576,1457,1365
532,1093,560,16,799,4578,8851,975
533,1094,565,27,801,4581,5662,1840
534,1095,567,3,803,4592,6580,1716
535,1097,571,13,805,4594,278,152
536,1098,578,21,806,4595,12958,976
537,1102,587,7,807,4596,145,977
538,1104,593,12,809,4597,2323,978
539,1107,597,29,811,4598,6887,979
540,1198,601,19,813,4601,12113,980
541,1368,606,22,815,4604,5959,981
542,1369,609,43,5842,4605,4549,1595
543,1370,611,45,820,4608,13039,1358
544,1371,614,51,822,4609,7399,1363
545,1374,618,32,824,4611,12562,1239
546,1375,622,39,826,4612,2763,1258
547,1377,624,50,828,4613,957,1262
548,1378,629,54,830,4614,5192,1638
549,1379,633,20,833,4617,10119,337
550,1380,636,55,835,4618,8578,1696
551,1384,642,2,839,4619,1557,1430
552,1387,644,14,841,4621,1556,982
553,1390,648,48,843,4623,8972,1283
554,1391,652,31,845,4624,10514,1288
555,1398,655,58,846,4625,5411,1549
556,1400,657,20,847,4626,5207,983
557,1402,661,18,849,4628,4285,471
558,1405,667,17,851,4631,1128,464
559,1421,672,23,853,4632,2709,984
560,1422,676,53,855,4633,3597,1586
561,1425,680,16,857,4635,7283,444
562,1426,1639,10,859,4636,1987,985
563,1505,1642,36,861,4639,9328,1329
564,1542,1644,9,863,4640,3549,986
565,1742,1647,1,865,4641,10715,389
566,1743,1650,19,867,4646,2827,345
567,1749,1652,56,869,4647,2072,1421
568,1750,1655,4,871,4648,4654,1313
569,1755,1656,47,873,4649,5653,1310
570,1756,1659,11,875,4758,3481,987
571,1757,1662,25,877,4759,326,988
572,1758,1665,3,879,4763,12236,319
573,1770,1669,38,881,4764,1477,1301
574,1777,1672,49,883,4986,9457,1144
575,1847,1674,6,885,5174,6179,287
576,1848,1676,25,887,5175,3434,989
577,1849,1679,1,888,5192,84,1366
578,1851,1682,14,890,5193,2136,239
579,1870,1685,2,892,5194,5635,233
580,1903,1688,22,894,5196,694,225
581,1950,1693,5,896,5198,2469,195
582,1951,1696,12,898,5199,9307,193
583,2007,1698,28,900,5201,4258,990
584,2008,1700,42,15636,5202,91,1505
585,2009,1703,15,903,5203,11206,9
586,2011,1705,2846,9036,5205,8473,1757
587,2025,1707,37,906,5207,12228,1141
588,2043,1710,5,907,5210,5516,1135
589,2044,1713,59,910,5213,7404,1523
590,2048,1716,23,912,5214,8613,452
591,2346,1718,40,914,5215,12987,1456
592,6574,1722,21,916,5218,3497,449
593,6576,1725,57,918,5219,4658,1416
594,6577,1729,11,920,5220,9249,441
595,6578,1732,61,16995,5221,1895,1559
596,6579,1737,4,923,5222,3813,437
597,6580,1739,7,926,5223,9297,426
598,6581,1743,8,928,5225,278,422
599,6582,1744,10,930,5226,4959,421
600,6583,889,60,932,5227,3571,1571
601,6584,1747,26,934,5229,2633,991
602,6585,1750,3145,936,5230,9363,1441
603,6586,1754,17,938,5233,9471,992
604,6636,1757,15,940,5234,4078,993
605,6637,1760,24,942,5236,6459,391
606,6638,1763,26,944,5239,5342,994
607,6639,1766,41,946,5240,7598,1381
608,6640,1770,736,948,5241,5763,995
609,6641,1772,18,950,5242,2300,996
8300,6642,165,3402,9477,5244,14207,1897
5514,6643,497,143,2408,5245,11537,4
11396,6644,494,1,1702,5255,10041,1896
3297,6645,466,170,785,5256,7539,1907
11397,6646,446,38,3047,5258,5015,1983
11398,6647,433,49,4282,5260,9766,1956
5519,6648,452,7620,1662,5261,7855,1880
165,6649,433,3081,12,5262,5143,1876
11399,6650,447,97,7,5263,6380,1912
8097,6651,444,13773,1588,5265,11560,1886
5527,6652,205,14148,187,5266,13655,57
5529,6653,440,7585,9,5268,8203,1942
10221,6654,425,184,4276,5273,12091,1945
3054,6655,420,925,5132,5275,7839,1901
3062,6656,430,230,784,5276,10587,1856
854,6657,424,13934,789,5277,9069,1880
11400,6658,426,39,992,5278,2141,1894
3064,6659,421,16535,5221,5280,9860,1905
3068,6660,432,1851,488,5281,1335,1893
11401,6661,434,117,755,5283,10804,1900
5818,6662,418,169,3022,5284,8654,1965
11402,6663,416,219,7880,5289,2249,1862
4831,6664,425,13909,3342,5291,311,1902
11162,6665,422,174,4048,5292,6801,1900
11403,6666,401,178,2468,5295,7910,1856
11404,6667,407,50,6,5297,6773,1904
9423,6668,440,186,187,5298,14168,1852
3078,6672,447,16653,1086,5305,4973,1885
11405,6673,409,2,4427,5308,14026,1901
11406,6674,451,51,3419,5309,9708,1865
11407,6675,410,7,631,5310,4775,1949
11408,6676,401,6,11254,5314,7185,1948
11409,6677,408,45,628,5320,3159,1981
11410,6678,393,54,4247,5321,14915,1962
11411,6679,405,109,2367,5323,1437,1942
365,6680,390,228,2996,5326,13410,1939
3090,6681,380,12240,786,5328,815,1904
11412,6682,387,47,13,5329,7405,1901
894,6683,377,12980,485,5332,13692,1917
11413,6685,374,126,1622,5333,7423,1942
3094,6686,396,16523,4455,5334,13721,1893
3096,6687,400,234,4860,5335,9848,1889
11414,6688,376,59,4866,5336,5374,1901
3766,6689,335,211,3504,5337,5705,1870
1596,6690,383,12971,468,5339,13419,1910
11415,6691,450,10,1796,5340,10231,16
11416,6692,371,58,785,5341,8101,1894
11417,6693,373,46,484,5343,7494,1919
3097,6694,368,731,1767,5347,12675,1907
3098,6695,375,16561,759,5348,11891,1900
11418,6696,370,56,2980,5349,4782,1976
11419,6697,257,110,253,5350,539,53
3775,6698,366,149,1805,5353,12572,1951
5877,6699,369,218,778,5354,6690,1923
5565,6700,366,7596,17640,5610,2848,1901
8342,6701,136,3398,4918,5611,95,13
3100,6702,402,641,571,5618,3716,1874
3103,6703,1222,86,12849,5630,13209,1840
11420,6704,1914,48,415,5855,1749,1872
11421,6706,379,127,6317,5857,18,1878
4038,6707,366,190,4166,5858,2226,1897
11422,6708,354,60,4441,5952,13999,1898
9470,6709,380,221,4742,5954,9552,1885
3104,6710,390,1055,4846,5955,10746,1856
11423,6711,384,180,4077,6229,3262,1881
11424,6712,360,188,4852,6241,2746,1893
6473,6713,367,189,454,6505,11377,1859
11425,6714,376,217,1606,6707,3026,1862
11426,6715,434,11,389,6875,9573,1902
10684,6716,357,200,1810,6959,4065,1882
11427,6717,652,9,1532,7204,5944,1865
11428,6718,378,123,667,7206,6565,1909
11429,6719,382,193,262,7499,6749,1905
5914,6720,365,13947,256,7549,2802,1917
11430,6721,834,40,5,7594,1875,1890
3787,6722,359,227,777,7607,13667,1915
3116,6723,335,718,129,7611,1002,1917
11431,6724,349,13244,146,7627,5570,1905
11432,6725,353,121,551,7674,2159,1901
11433,6726,336,55,557,7676,7163,1913
11434,6727,1880,177,20668,7725,6245,1937
3789,6728,336,1836,4691,7738,1168,1930
3792,6729,1851,13007,1386,7741,8310,1966
11435,6730,325,3,2942,7743,2812,1986
11436,6731,7,4,1,7744,4130,39
9967,6748,321,197,8853,7745,2424,1934
11437,6760,280,43,7145,7749,4876,40
7094,6761,1867,3143,274,7750,8432,998
11438,6762,1868,52,6564,7760,2690,999
11439,6763,1869,105,103,7761,14765,463
11440,6765,1870,179,35,7779,14838,1174
11441,6766,1871,41,104,7780,6753,1893
11442,6767,1872,102,105,7783,7133,457
4077,6768,1873,3271,6560,7792,6684,454
11443,6769,1874,57,106,7797,6969,1000
2442,6770,1875,682,3909,7799,74,450
11444,6771,1876,181,6553,7811,8623,1561
6527,6772,1877,3246,3752,7815,10140,1560
11445,6773,1878,8,65,7818,10770,1760
7097,6774,1879,16534,1007,7819,13032,1177
11446,6775,1880,5,1022,7828,12419,1865
11447,6776,1881,165,4297,7833,7730,1774
5953,6777,1882,631,107,7842,1637,1793
2453,6778,1883,4230,1024,7849,12051,436
315,6779,1884,244,1033,7865,1327,1822
2456,6780,1885,1026,108,7875,15308,1801
11448,6789,1886,44,2,7877,6033,426
3129,6796,1887,232,7407,7883,3135,1001
3806,6797,367,52,3924,7888,2700,1180
11449,6798,1888,53,97,7898,5459,1736
11450,6799,1889,107,109,7907,10657,1002
11451,6800,1890,42,110,7912,264,1003
5587,6801,1891,7632,24,7930,10941,412
11452,6802,1892,125,1056,7934,6167,1183
1017,6803,1893,16569,111,7947,5383,1790
11453,6804,1894,111,112,7948,2012,407
11454,6805,1895,92,113,7952,11724,406
11455,6806,1896,133,114,7953,8562,404
11456,6807,1897,182,115,7954,14687,403
11457,6808,1898,89,116,7959,1441,402
11458,6809,1899,147,117,7963,13995,401
3395,6810,386,16536,1162,7967,4884,398
11459,6811,1900,31,4990,7969,8990,1810
11460,6812,1901,21,118,7970,6152,1809
383,6813,475,3135,3274,7971,49,395
9556,6814,1902,213,119,7972,4495,1829
11461,6815,1903,175,1090,7973,10475,391
11462,6816,1904,65,1093,7974,7070,1821
11463,6817,1905,81,120,7975,3038,1754
11464,6818,1906,118,2521,7976,4705,386
7104,6819,385,16564,3927,7978,12930,1553
3400,6820,1907,204,121,7980,6761,1767
3820,6821,1908,231,122,7982,6244,383
11465,6822,1909,94,123,7983,5174,377
3139,6823,1910,1058,1095,7984,4313,371
11466,6824,1911,163,1097,7985,4802,1773
2511,6825,1912,206,124,7986,12504,1799
385,6826,1913,3136,125,7987,3435,356
8393,6827,1914,3457,7936,7989,13318,353
11467,6956,1915,116,995,7990,9703,1378
11468,6957,1916,173,6522,7993,14269,1622
4115,6958,1917,228,318,7994,10371,1488
7,6959,1918,209,1099,7995,1127,1004
3825,6960,1919,1793,1103,8001,2675,1759
11469,6961,1920,93,126,8002,2974,1706
11470,6962,1921,148,127,8005,4894,335
8217,6963,1922,233,74,8006,2322,334
3145,6964,1923,225,128,8011,6772,1192
11471,6965,1924,32,27,8012,12914,331
11472,6966,1925,157,1104,8014,3511,1193
11473,6967,1926,697,129,8019,9191,1726
3830,6968,1927,114,261,8020,5685,1005
3831,6969,1928,84,32,8023,7834,1383
